iter	Passed	Remaining
0	51	51211
1	51	25871
2	52	17408
3	52	13167
4	53	10639
5	53	8920
6	54	7718
7	55	6827
8	55	6111
9	56	5546
10	56	5077
11	56	4684
12	57	4357
13	57	4081
14	58	3840
15	58	3624
16	59	3435
17	59	3269
18	60	3118
19	60	2984
20	61	2856
21	61	2742
22	62	2637
23	62	2538
24	62	2450
25	63	2366
26	63	2289
27	63	2218
28	64	2152
29	64	2091
30	65	2033
31	65	1978
32	65	1925
33	65	1874
34	66	1828
35	66	1785
36	67	1745
37	67	1707
38	67	1671
39	68	1636
40	68	1602
41	68	1570
42	69	1540
43	69	1509
44	69	1481
45	70	1454
46	70	1427
47	70	1402
48	71	1378
49	71	1355
50	71	1332
51	71	1311
52	72	1290
53	72	1270
54	72	1251
55	73	1232
56	73	1214
57	73	1196
58	73	1178
59	74	1162
60	74	1146
61	74	1130
62	75	1115
63	75	1100
64	75	1086
65	75	1073
66	76	1059
67	76	1046
68	76	1033
69	76	1020
70	77	1008
71	77	997
72	77	985
73	77	974
74	78	963
75	78	952
76	78	942
77	78	931
78	79	922
79	79	912
80	79	902
81	79	892
82	79	882
83	80	873
84	80	865
85	80	856
86	80	848
87	81	840
88	81	832
89	81	824
90	81	817
91	82	809
92	82	802
93	82	794
94	82	787
95	82	780
96	83	773
97	83	767
98	83	760
99	83	754
100	83	747
101	84	741
102	84	735
103	84	729
104	84	723
105	85	717
106	85	711
107	85	706
108	85	700
109	85	695
110	86	689
111	86	684
112	86	679
113	86	674
114	86	669
115	87	664
116	87	659
117	87	654
118	87	649
119	87	645
120	88	640
121	88	635
122	88	631
123	88	627
124	88	622
125	89	618
126	89	614
127	89	610
128	89	606
129	90	602
130	90	598
131	90	594
132	90	590
133	90	587
134	91	583
135	91	579
136	91	576
137	91	572
138	91	568
139	92	565
140	92	562
141	92	558
142	92	554
143	92	551
144	93	548
145	93	545
146	93	542
147	93	539
148	93	536
149	94	533
150	94	530
151	94	527
152	94	524
153	94	521
154	95	518
155	95	515
156	95	512
157	95	510
158	95	507
159	96	504
160	96	501
161	96	499
162	96	496
163	96	494
164	97	491
165	97	489
166	97	486
167	97	484
168	98	482
169	98	479
170	98	477
171	98	474
172	98	472
173	99	470
174	99	468
175	99	466
176	99	463
177	99	461
178	100	459
179	100	457
180	100	455
181	100	453
182	101	451
183	101	449
184	101	447
185	101	445
186	101	443
187	102	441
188	102	439
189	102	437
190	102	435
191	103	433
192	103	431
193	103	430
194	103	428
195	103	426
196	104	424
197	104	422
198	104	421
199	104	419
200	105	417
201	105	416
202	105	414
203	105	412
204	106	411
205	106	409
206	106	407
207	106	406
208	106	404
209	107	402
210	107	401
211	107	399
212	107	398
213	107	396
214	108	395
215	108	393
216	108	392
217	108	390
218	109	389
219	109	387
220	109	386
221	109	384
222	109	383
223	110	381
224	110	380
225	110	379
226	110	377
227	111	376
228	111	375
229	111	373
230	111	372
231	112	371
232	112	369
233	112	368
234	112	367
235	113	365
236	113	364
237	113	363
238	113	362
239	114	361
240	114	360
241	114	358
242	114	357
243	115	356
244	115	355
245	115	354
246	115	352
247	116	351
248	116	350
249	116	349
250	116	348
251	117	347
252	117	346
253	117	345
254	117	344
255	118	345
256	119	344
