iter	RMSE
0	14.56740971
1	14.24467935
2	13.88043393
3	13.53111476
4	13.18892153
5	12.8888561
6	12.57685117
7	12.29426803
8	11.99084609
9	11.73058808
10	11.49093193
11	11.25769617
12	11.02689991
13	10.77560447
14	10.55244793
15	10.33530221
16	10.11440556
17	9.897824604
18	9.698213234
19	9.502541866
20	9.32419166
21	9.143768846
22	8.974815006
23	8.829515872
24	8.6679605
25	8.530857003
26	8.429980306
27	8.29301184
28	8.156777005
29	8.061240507
30	7.985678424
31	7.861309831
32	7.737770789
33	7.625762058
34	7.522527301
35	7.441047074
36	7.356804767
37	7.283146334
38	7.187280027
39	7.100114763
40	7.02670633
41	6.96471342
42	6.885235956
43	6.811507256
44	6.743176316
45	6.684684001
46	6.624763826
47	6.563234609
48	6.500101357
49	6.449122443
50	6.393268425
51	6.344776265
52	6.302506465
53	6.257975215
54	6.214468802
55	6.171593743
56	6.129736097
57	6.088613642
58	6.053826187
59	6.019395203
60	5.984173685
61	5.953495891
62	5.921247707
63	5.886370132
64	5.854872518
65	5.831591517
66	5.801506003
67	5.775833539
68	5.74981042
69	5.726354765
70	5.708499847
71	5.690081854
72	5.668936128
73	5.649527526
74	5.633253415
75	5.617475872
76	5.601904289
77	5.582690666
78	5.572156187
79	5.561126375
80	5.540807563
81	5.530788948
82	5.510125067
83	5.496682303
84	5.478208117
85	5.455950967
86	5.442055462
87	5.432989087
88	5.417513592
89	5.403918606
90	5.394737557
91	5.385380595
92	5.374972334
93	5.364571039
94	5.352247944
95	5.339897537
96	5.334225332
97	5.326273111
98	5.31231469
99	5.300429979
100	5.292241472
101	5.280807252
102	5.27310855
103	5.264337802
104	5.25622976
105	5.248141981
106	5.24165453
107	5.234678596
108	5.224714996
109	5.217925734
110	5.211091618
111	5.203545704
112	5.197933762
113	5.193326559
114	5.186807247
115	5.181775161
116	5.171437879
117	5.163506169
118	5.156415235
119	5.151055355
120	5.143266307
121	5.13698511
122	5.129789679
123	5.128339169
124	5.124488305
125	5.116697386
126	5.10906468
127	5.104734763
128	5.097481976
129	5.092994721
130	5.086084121
131	5.081047336
132	5.075885194
