iter	Passed	Remaining
0	0	516
1	1	548
2	1	458
3	1	411
4	1	376
5	2	353
6	2	337
7	2	335
8	2	324
9	3	316
10	3	310
11	3	304
12	3	299
13	4	297
14	4	298
15	4	295
16	5	289
17	5	284
18	5	280
19	5	276
20	5	271
21	6	268
22	6	265
23	6	262
24	6	259
25	6	257
26	6	252
27	7	249
28	7	246
29	7	244
30	7	240
31	7	239
32	8	238
33	8	236
34	8	235
35	8	233
36	8	232
37	9	232
38	9	231
39	9	230
40	9	229
41	9	227
42	10	227
43	10	226
44	10	226
45	10	225
46	11	224
47	11	223
48	11	222
49	11	222
50	11	222
51	12	221
52	12	220
53	12	219
54	12	219
55	12	218
56	13	217
57	13	217
58	13	216
59	13	215
60	13	215
61	14	215
62	14	214
63	14	213
64	14	213
65	15	213
66	15	212
67	15	211
68	15	211
69	15	211
70	16	210
71	16	209
72	16	209
73	16	208
74	16	207
75	17	207
76	17	207
77	17	207
78	17	205
79	17	204
80	18	204
81	18	203
82	18	202
83	18	202
84	18	201
85	18	201
86	19	200
87	19	200
88	19	200
89	19	199
90	19	199
91	20	198
92	20	198
93	20	197
94	20	197
95	20	197
96	21	195
97	21	195
98	21	195
99	21	195
100	21	195
101	22	195
102	22	195
103	22	194
104	22	194
105	23	194
106	23	194
107	23	194
108	23	194
109	23	193
110	24	193
111	24	193
112	24	192
113	24	192
114	24	192
115	25	192
116	25	191
117	25	191
118	25	191
119	26	190
120	26	190
121	26	190
122	26	190
123	26	189
124	26	188
125	27	188
126	27	188
127	27	188
128	27	188
129	28	187
130	28	187
131	28	187
132	28	186
133	28	186
134	29	186
135	29	186
136	29	186
137	29	186
138	30	186
139	30	185
140	30	185
141	30	185
142	30	185
143	31	184
144	31	184
145	31	184
146	31	183
147	31	183
148	32	183
149	32	183
150	32	183
151	32	182
152	33	182
153	33	182
154	33	182
155	33	182
156	33	182
157	34	182
158	34	181
159	34	181
160	34	181
161	35	181
162	35	180
163	35	180
164	35	180
165	35	180
166	36	180
167	36	179
168	36	179
169	36	179
170	36	179
171	37	178
172	37	178
173	37	177
174	37	177
175	37	177
176	38	177
177	38	176
178	38	176
179	38	176
180	38	176
181	39	175
182	39	175
183	39	175
184	39	175
185	39	174
186	40	174
187	40	173
188	40	173
189	40	173
190	40	172
191	41	172
192	41	172
193	41	172
194	41	171
195	41	171
196	42	171
197	42	171
198	42	171
199	42	171
200	42	170
201	43	170
202	43	170
203	43	169
204	43	169
205	43	169
206	44	169
207	44	168
208	44	168
209	44	168
210	44	168
211	45	167
212	45	167
213	45	167
214	45	166
215	45	166
216	46	166
217	46	166
218	46	165
219	46	165
220	46	165
221	47	165
222	47	164
223	47	164
224	47	163
225	47	163
226	47	163
227	48	162
228	48	162
229	48	162
230	48	162
231	49	162
232	49	162
233	49	162
234	49	161
235	49	161
236	50	161
237	50	161
238	50	160
239	50	160
240	50	160
241	51	160
242	51	159
243	51	159
244	51	159
245	51	159
246	52	159
247	52	158
248	52	158
249	52	158
250	53	158
251	53	158
252	53	157
253	53	157
254	53	157
255	54	157
256	54	156
257	54	156
258	54	156
259	54	156
260	55	156
261	55	155
262	55	155
263	55	155
264	55	155
265	56	154
266	56	154
267	56	154
268	56	154
269	56	153
270	57	153
271	57	153
272	57	153
273	57	152
274	57	152
275	58	152
276	58	152
277	58	151
278	58	151
279	58	151
280	59	151
281	59	151
282	59	150
283	59	150
284	59	150
285	60	150
286	60	150
287	60	149
288	60	149
289	61	149
290	61	149
291	61	149
292	61	148
293	61	148
294	62	148
295	62	148
296	62	147
297	62	147
298	62	147
299	63	147
300	63	147
301	63	146
302	63	146
303	63	146
304	64	146
305	64	145
306	64	145
307	64	145
308	64	145
309	65	144
310	65	144
311	65	144
312	65	144
313	65	144
314	66	143
315	66	143
316	66	143
317	66	143
318	66	142
319	67	142
320	67	142
321	67	142
322	67	141
323	67	141
324	68	141
325	68	141
326	68	141
327	68	140
328	68	140
329	69	140
330	69	140
331	69	139
332	69	139
333	69	139
334	70	139
335	70	138
336	70	138
337	70	138
338	70	138
339	71	137
340	71	137
341	71	137
342	71	137
343	71	137
344	72	136
345	72	136
346	72	136
347	72	136
348	72	136
349	73	135
350	73	135
351	73	135
352	73	135
353	73	134
354	74	134
355	74	134
356	74	134
357	74	134
358	74	133
359	75	133
360	75	133
361	75	133
362	75	132
363	75	132
364	76	132
365	76	132
366	76	132
367	76	131
368	76	131
369	77	131
370	77	131
371	77	130
372	77	130
373	77	130
374	78	130
375	78	129
376	78	129
377	78	129
378	78	129
379	79	129
380	79	128
381	79	128
382	79	128
383	79	128
384	80	127
385	80	127
386	80	127
387	80	127
388	80	127
389	81	126
390	81	126
391	81	126
392	81	126
393	82	126
394	82	125
395	82	125
396	82	125
397	82	125
398	83	125
399	83	124
400	83	124
401	83	124
402	83	124
403	84	124
404	84	123
405	84	123
406	84	123
407	84	123
408	85	123
409	85	122
410	85	122
411	85	122
412	86	122
413	86	122
414	86	121
415	86	121
416	86	121
417	87	121
418	87	121
419	87	120
420	87	120
421	87	120
422	88	120
423	88	119
424	88	119
425	88	119
426	88	119
427	89	119
428	89	118
429	89	118
430	89	118
431	89	118
432	90	117
433	90	117
434	90	117
435	90	117
436	90	117
437	91	116
438	91	116
439	91	116
440	91	116
441	91	116
442	92	115
443	92	115
444	92	115
445	92	115
446	93	115
447	93	114
448	93	114
449	93	114
450	93	114
451	94	114
452	94	113
453	94	113
454	94	113
455	94	113
456	94	112
457	95	112
458	95	112
459	95	112
460	95	111
461	95	111
462	96	111
463	96	111
464	96	111
465	96	110
466	96	110
467	97	110
468	97	110
469	97	110
470	97	109
471	98	109
472	98	109
473	98	109
474	98	109
475	99	109
476	99	108
477	99	108
478	99	108
479	99	108
480	100	107
481	100	107
482	100	107
483	100	107
484	100	107
485	101	106
486	101	106
487	101	106
488	101	106
489	101	106
490	102	105
491	102	105
492	102	105
493	102	105
494	102	104
495	103	104
496	103	104
497	103	104
498	103	104
499	103	103
500	104	103
501	104	103
502	104	103
503	104	103
504	104	102
505	105	102
506	105	102
507	105	102
508	105	102
509	106	101
510	106	101
511	106	101
512	106	101
513	106	101
514	107	100
515	107	100
516	107	100
517	107	100
518	107	100
519	108	99
520	108	99
521	108	99
522	108	99
523	108	99
524	109	98
525	109	98
526	109	98
527	109	98
528	110	97
529	110	97
530	110	97
531	110	97
532	110	97
533	111	96
534	111	96
535	111	96
536	111	96
537	111	96
538	112	95
539	112	95
540	112	95
541	112	95
542	112	95
543	113	94
544	113	94
545	113	94
546	113	94
547	113	93
548	114	93
549	114	93
550	114	93
551	114	93
552	115	92
553	115	92
554	115	92
555	115	92
556	115	92
557	116	91
558	116	91
559	116	91
560	116	91
561	117	91
562	117	91
563	117	91
564	117	90
565	118	90
566	118	90
567	118	90
568	118	89
569	118	89
570	119	89
571	119	89
572	119	89
573	119	88
574	119	88
575	120	88
576	120	88
577	120	88
578	121	88
579	121	87
580	121	87
581	121	87
582	121	87
583	122	86
584	122	86
585	122	86
586	122	86
587	122	86
588	123	85
589	123	85
590	123	85
591	123	85
592	123	85
593	124	84
594	124	84
595	124	84
596	124	84
597	124	83
598	125	83
599	125	83
600	125	83
601	125	83
602	125	82
603	126	82
604	126	82
605	126	82
606	126	82
607	126	81
608	127	81
609	127	81
610	127	81
611	127	80
612	127	80
613	128	80
614	128	80
615	128	80
616	128	79
617	129	79
618	129	79
619	129	79
620	129	79
621	129	78
622	130	78
623	130	78
624	130	78
625	130	78
626	131	78
627	131	77
628	131	77
629	131	77
630	132	77
631	132	77
632	132	76
633	132	76
634	132	76
635	133	76
636	133	75
637	133	75
638	133	75
639	134	75
640	134	75
641	134	75
642	134	74
643	134	74
644	135	74
645	135	74
646	135	73
647	135	73
648	136	73
649	136	73
650	136	73
651	136	72
652	136	72
653	137	72
654	137	72
655	137	72
656	137	71
657	138	71
658	138	71
659	138	71
660	138	71
661	138	70
662	139	70
663	139	70
664	139	70
665	139	70
666	139	69
667	140	69
668	140	69
669	140	69
670	140	68
671	140	68
672	141	68
673	141	68
674	141	68
675	141	67
676	141	67
677	142	67
678	142	67
679	142	67
680	142	66
681	143	66
682	143	66
683	143	66
684	143	66
685	143	65
686	144	65
687	144	65
688	144	65
689	144	65
690	144	64
691	145	64
692	145	64
693	145	64
694	145	63
695	145	63
696	146	63
697	146	63
698	146	63
699	146	62
700	147	62
701	147	62
702	147	62
703	147	62
704	147	61
705	148	61
706	148	61
